"invoice_no","Category","Quantity","Revenue","Payment_method","Shopping_Mall"
"I475299","Shoes",4,"9602.72","Debit Card","Emaar Square Mall"
"I278860","Shoes",5,"15004.25","Cash","Zorlu Center"
"I270256","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I108464","Clothing",5,"7502","Debit Card","Metropol AVM"
"I313408","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I837211","Technology",4,"16800","Debit Card","Zorlu Center"
"I299033","Clothing",5,"7502","Cash","Mall of Istanbul"
"I245341","Shoes",3,"5401.53","Cash","Metrocity"
"I101925","Technology",3,"9450","Debit Card","Mall of Istanbul"
"I306627","Shoes",4,"9602.72","Cash","Metropol AVM"
"I654265","Shoes",3,"5401.53","Cash","Cevahir AVM"
"I179976","Technology",3,"9450","Cash","Forum Istanbul"
"I102332","Technology",5,"26250","Cash","Istinye Park"
"I106700","Technology",4,"16800","Debit Card","Metropol AVM"
"I275966","Technology",4,"16800","Cash","Kanyon"
"I406515","Technology",5,"26250","Debit Card","Mall of Istanbul"
"I294882","Clothing",5,"7502","Cash","Viaport Outlet"
"I185516","Technology",4,"16800","Cash","Mall of Istanbul"
"I795905","Clothing",5,"7502","Cash","Forum Istanbul"
"I455376","Clothing",5,"7502","Cash","Metrocity"
"I333830","Shoes",5,"15004.25","Cash","Cevahir AVM"
"I266008","Clothing",5,"7502","Cash","Mall of Istanbul"
"I218016","Shoes",4,"9602.72","Cash","Viaport Outlet"
"I273049","Technology",3,"9450","Cash","Zorlu Center"
"I127198","Clothing",5,"7502","Debit Card","Kanyon"
"I655846","Clothing",5,"7502","Cash","Metropol AVM"
"I295957","Shoes",5,"15004.25","Debit Card","Metrocity"
"I281661","Shoes",5,"15004.25","Cash","Metrocity"
"I305848","Clothing",5,"7502","Cash","Mall of Istanbul"
"I195836","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I307318","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I197392","Clothing",5,"7502","Cash","Forum Istanbul"
"I445447","Clothing",5,"7502","Debit Card","Istinye Park"
"I325429","Technology",5,"26250","Cash","Mall of Istanbul"
"I187719","Technology",5,"26250","Cash","Metrocity"
"I229427","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I219391","Clothing",5,"7502","Cash","Metrocity"
"I203988","Clothing",5,"7502","Cash","Metropol AVM"
"I480654","Clothing",5,"7502","Cash","Kanyon"
"I231902","Clothing",5,"7502","Debit Card","Cevahir AVM"
"I105631","Clothing",5,"7502","Cash","Kanyon"
"I314578","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I188636","Clothing",5,"7502","Cash","Istinye Park"
"I898668","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I141777","Clothing",5,"7502","Cash","Istinye Park"
"I210711","Shoes",3,"5401.53","Cash","Metrocity"
"I224498","Technology",3,"9450","Debit Card","Metrocity"
"I286068","Shoes",5,"15004.25","Cash","Metrocity"
"I339916","Technology",5,"26250","Cash","Zorlu Center"
"I199000","Shoes",4,"9602.72","Cash","Istinye Park"
"I586135","Clothing",5,"7502","Cash","Metropol AVM"
"I202981","Technology",5,"26250","Debit Card","Kanyon"
"I235852","Shoes",5,"15004.25","Debit Card","Kanyon"
"I179607","Shoes",5,"15004.25","Debit Card","Istinye Park"
"I246090","Shoes",5,"15004.25","Cash","Metropol AVM"
"I327655","Technology",3,"9450","Debit Card","Forum Istanbul"
"I134199","Shoes",3,"5401.53","Cash","Kanyon"
"I665298","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I161468","Technology",3,"9450","Cash","Cevahir AVM"
"I523123","Clothing",5,"7502","Cash","Istinye Park"
"I129288","Clothing",5,"7502","Cash","Cevahir AVM"
"I116747","Technology",5,"26250","Cash","Mall of Istanbul"
"I147111","Clothing",5,"7502","Cash","Metropol AVM"
"I237939","Clothing",5,"7502","Cash","Mall of Istanbul"
"I846179","Shoes",3,"5401.53","Cash","Kanyon"
"I146301","Clothing",5,"7502","Debit Card","Metrocity"
"I121782","Clothing",5,"7502","Cash","Istinye Park"
"I269322","Clothing",5,"7502","Cash","Mall of Istanbul"
"I162965","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I269909","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I108887","Clothing",5,"7502","Cash","Viaport Outlet"
"I489038","Clothing",5,"7502","Cash","Forum Istanbul"
"I298845","Shoes",3,"5401.53","Debit Card","Metropol AVM"
"I738761","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I251364","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I204105","Clothing",5,"7502","Cash","Metrocity"
"I266830","Clothing",5,"7502","Cash","Kanyon"
"I293599","Technology",5,"26250","Cash","Istinye Park"
"I336902","Clothing",5,"7502","Debit Card","Metrocity"
"I266075","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I814375","Clothing",5,"7502","Cash","Cevahir AVM"
"I205232","Technology",5,"26250","Cash","Istinye Park"
"I156731","Shoes",3,"5401.53","Cash","Istinye Park"
"I285718","Technology",4,"16800","Cash","Istinye Park"
"I206657","Clothing",5,"7502","Cash","Metrocity"
"I165235","Technology",5,"26250","Cash","Kanyon"
"I332851","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I323921","Clothing",5,"7502","Cash","Forum Istanbul"
"I171727","Clothing",5,"7502","Cash","Mall of Istanbul"
"I170972","Clothing",5,"7502","Cash","Istinye Park"
"I144857","Clothing",5,"7502","Cash","Mall of Istanbul"
"I116290","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I985772","Shoes",5,"15004.25","Debit Card","Kanyon"
"I950599","Clothing",5,"7502","Cash","Metropol AVM"
"I186134","Technology",5,"26250","Cash","Kanyon"
"I221795","Clothing",5,"7502","Cash","Cevahir AVM"
"I143827","Shoes",5,"15004.25","Debit Card","Kanyon"
"I146673","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I236631","Shoes",3,"5401.53","Debit Card","Kanyon"
"I260694","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I290706","Shoes",4,"9602.72","Cash","Emaar Square Mall"
"I854971","Shoes",5,"15004.25","Cash","Kanyon"
"I226147","Shoes",4,"9602.72","Debit Card","Zorlu Center"
"I181066","Technology",3,"9450","Debit Card","Istinye Park"
"I128017","Clothing",5,"7502","Cash","Istinye Park"
"I139435","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I276881","Technology",4,"16800","Cash","Viaport Outlet"
"I200451","Clothing",5,"7502","Cash","Kanyon"
"I261959","Technology",4,"16800","Cash","Emaar Square Mall"
"I182916","Clothing",5,"7502","Cash","Mall of Istanbul"
"I172750","Shoes",3,"5401.53","Cash","Istinye Park"
"I302644","Shoes",5,"15004.25","Cash","Metrocity"
"I333233","Clothing",5,"7502","Cash","Metropol AVM"
"I192433","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I921512","Technology",3,"9450","Cash","Metrocity"
"I128337","Clothing",5,"7502","Cash","Cevahir AVM"
"I181989","Technology",4,"16800","Cash","Metropol AVM"
"I213524","Technology",3,"9450","Cash","Metropol AVM"
"I943372","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I561779","Clothing",5,"7502","Cash","Istinye Park"
"I123507","Technology",3,"9450","Cash","Zorlu Center"
"I604837","Shoes",4,"9602.72","Cash","Metropol AVM"
"I739400","Clothing",5,"7502","Cash","Mall of Istanbul"
"I180808","Technology",3,"9450","Cash","Cevahir AVM"
"I685923","Shoes",5,"15004.25","Cash","Metrocity"
"I222315","Clothing",5,"7502","Debit Card","Kanyon"
"I239772","Clothing",5,"7502","Cash","Kanyon"
"I224913","Technology",5,"26250","Cash","Kanyon"
"I328399","Technology",4,"16800","Cash","Mall of Istanbul"
"I150078","Shoes",4,"9602.72","Cash","Metropol AVM"
"I794561","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I839593","Clothing",5,"7502","Cash","Mall of Istanbul"
"I218255","Clothing",5,"7502","Cash","Mall of Istanbul"
"I459253","Clothing",5,"7502","Cash","Metrocity"
"I922713","Clothing",5,"7502","Debit Card","Metropol AVM"
"I177404","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I231804","Technology",4,"16800","Debit Card","Metrocity"
"I303576","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I143386","Shoes",4,"9602.72","Cash","Metrocity"
"I959684","Shoes",3,"5401.53","Cash","Metrocity"
"I270353","Clothing",5,"7502","Cash","Metrocity"
"I717039","Technology",3,"9450","Cash","Cevahir AVM"
"I270244","Clothing",5,"7502","Cash","Kanyon"
"I155399","Clothing",5,"7502","Debit Card","Metrocity"
"I478548","Clothing",5,"7502","Cash","Kanyon"
"I341743","Technology",3,"9450","Debit Card","Mall of Istanbul"
"I311502","Clothing",5,"7502","Cash","Mall of Istanbul"
"I219828","Technology",4,"16800","Cash","Viaport Outlet"
"I262738","Technology",3,"9450","Cash","Cevahir AVM"
"I751277","Technology",4,"16800","Cash","Viaport Outlet"
"I665079","Shoes",5,"15004.25","Cash","Kanyon"
"I102374","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I159653","Shoes",3,"5401.53","Debit Card","Metrocity"
"I325345","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I324312","Shoes",4,"9602.72","Cash","Istinye Park"
"I162388","Shoes",5,"15004.25","Cash","Kanyon"
"I169256","Shoes",4,"9602.72","Cash","Viaport Outlet"
"I306823","Technology",3,"9450","Cash","Kanyon"
"I765303","Technology",5,"26250","Cash","Mall of Istanbul"
"I315433","Clothing",5,"7502","Cash","Emaar Square Mall"
"I277571","Technology",4,"16800","Debit Card","Kanyon"
"I991194","Clothing",5,"7502","Cash","Zorlu Center"
"I285059","Clothing",5,"7502","Cash","Istinye Park"
"I480597","Technology",3,"9450","Debit Card","Emaar Square Mall"
"I238274","Technology",5,"26250","Cash","Kanyon"
"I495819","Clothing",5,"7502","Cash","Kanyon"
"I148324","Clothing",5,"7502","Debit Card","Kanyon"
"I170790","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I239100","Technology",5,"26250","Cash","Metropol AVM"
"I296432","Technology",3,"9450","Debit Card","Istinye Park"
"I304565","Clothing",5,"7502","Cash","Metropol AVM"
"I427906","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I289574","Clothing",5,"7502","Cash","Mall of Istanbul"
"I294248","Clothing",5,"7502","Cash","Kanyon"
"I159839","Clothing",5,"7502","Cash","Metrocity"
"I247623","Clothing",5,"7502","Cash","Mall of Istanbul"
"I220510","Shoes",5,"15004.25","Cash","Kanyon"
"I213110","Shoes",3,"5401.53","Cash","Istinye Park"
"I266268","Clothing",5,"7502","Cash","Metropol AVM"
"I269288","Clothing",5,"7502","Cash","Mall of Istanbul"
"I641123","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I117320","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I501518","Technology",4,"16800","Cash","Kanyon"
"I194311","Shoes",5,"15004.25","Cash","Metrocity"
"I879876","Clothing",5,"7502","Cash","Cevahir AVM"
"I127110","Clothing",5,"7502","Cash","Emaar Square Mall"
"I169985","Clothing",5,"7502","Cash","Mall of Istanbul"
"I248714","Clothing",5,"7502","Cash","Metrocity"
"I917076","Clothing",5,"7502","Cash","Istinye Park"
"I197267","Shoes",3,"5401.53","Cash","Forum Istanbul"
"I274195","Shoes",3,"5401.53","Debit Card","Kanyon"
"I382596","Technology",4,"16800","Cash","Istinye Park"
"I167240","Clothing",5,"7502","Cash","Metropol AVM"
"I155713","Shoes",5,"15004.25","Cash","Metropol AVM"
"I138977","Clothing",5,"7502","Cash","Kanyon"
"I641019","Shoes",4,"9602.72","Cash","Emaar Square Mall"
"I137465","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I275247","Clothing",5,"7502","Debit Card","Metropol AVM"
"I217897","Clothing",5,"7502","Debit Card","Metrocity"
"I111901","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I201473","Technology",3,"9450","Debit Card","Metrocity"
"I323999","Clothing",5,"7502","Cash","Metrocity"
"I530730","Clothing",5,"7502","Cash","Viaport Outlet"
"I138508","Clothing",5,"7502","Cash","Viaport Outlet"
"I172854","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I139679","Shoes",5,"15004.25","Cash","Metropol AVM"
"I229366","Clothing",5,"7502","Debit Card","Istinye Park"
"I325887","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I244140","Technology",3,"9450","Cash","Forum Istanbul"
"I143489","Clothing",5,"7502","Cash","Mall of Istanbul"
"I530551","Clothing",5,"7502","Cash","Metropol AVM"
"I253340","Shoes",4,"9602.72","Cash","Metropol AVM"
"I304509","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I116285","Clothing",5,"7502","Cash","Mall of Istanbul"
"I276317","Shoes",3,"5401.53","Cash","Forum Istanbul"
"I109468","Clothing",5,"7502","Cash","Metropol AVM"
"I306479","Clothing",5,"7502","Cash","Kanyon"
"I542105","Clothing",5,"7502","Cash","Metrocity"
"I157763","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I202531","Clothing",5,"7502","Cash","Kanyon"
"I168794","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I757064","Shoes",5,"15004.25","Cash","Metrocity"
"I172317","Technology",4,"16800","Cash","Emaar Square Mall"
"I179112","Technology",4,"16800","Cash","Metrocity"
"I138308","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I772670","Technology",4,"16800","Debit Card","Emaar Square Mall"
"I352799","Shoes",4,"9602.72","Cash","Zorlu Center"
"I276372","Shoes",3,"5401.53","Cash","Metrocity"
"I334957","Technology",4,"16800","Cash","Kanyon"
"I293673","Shoes",3,"5401.53","Cash","Metrocity"
"I320650","Clothing",5,"7502","Cash","Mall of Istanbul"
"I234630","Shoes",4,"9602.72","Cash","Cevahir AVM"
"I262750","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I229523","Shoes",5,"15004.25","Debit Card","Cevahir AVM"
"I318810","Technology",3,"9450","Debit Card","Metrocity"
"I229793","Technology",3,"9450","Cash","Mall of Istanbul"
"I180133","Shoes",5,"15004.25","Debit Card","Metropol AVM"
"I231777","Technology",4,"16800","Debit Card","Cevahir AVM"
"I307485","Clothing",5,"7502","Cash","Istinye Park"
"I264042","Shoes",5,"15004.25","Cash","Kanyon"
"I272055","Clothing",5,"7502","Debit Card","Metrocity"
"I836596","Technology",5,"26250","Debit Card","Mall of Istanbul"
"I218918","Technology",3,"9450","Cash","Metropol AVM"
"I188622","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I792489","Shoes",3,"5401.53","Cash","Istinye Park"
"I219996","Clothing",5,"7502","Debit Card","Metrocity"
"I210525","Clothing",5,"7502","Cash","Metropol AVM"
"I371169","Clothing",5,"7502","Cash","Mall of Istanbul"
"I118050","Clothing",5,"7502","Cash","Kanyon"
"I386212","Shoes",3,"5401.53","Cash","Forum Istanbul"
"I508134","Clothing",5,"7502","Cash","Metropol AVM"
"I336295","Clothing",5,"7502","Cash","Zorlu Center"
"I262490","Shoes",5,"15004.25","Cash","Metropol AVM"
"I242027","Shoes",4,"9602.72","Cash","Kanyon"
"I530052","Technology",5,"26250","Cash","Kanyon"
"I270643","Clothing",5,"7502","Cash","Metrocity"
"I820705","Shoes",4,"9602.72","Cash","Cevahir AVM"
"I316204","Shoes",3,"5401.53","Cash","Kanyon"
"I260200","Clothing",5,"7502","Cash","Viaport Outlet"
"I307246","Clothing",5,"7502","Cash","Kanyon"
"I235147","Technology",5,"26250","Debit Card","Metrocity"
"I100355","Clothing",5,"7502","Cash","Kanyon"
"I848868","Shoes",4,"9602.72","Cash","Emaar Square Mall"
"I262133","Technology",4,"16800","Cash","Metrocity"
"I121271","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I186400","Shoes",5,"15004.25","Cash","Kanyon"
"I582954","Shoes",3,"5401.53","Cash","Metrocity"
"I409391","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I271569","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I149368","Clothing",5,"7502","Cash","Istinye Park"
"I133628","Technology",3,"9450","Debit Card","Forum Istanbul"
"I340272","Technology",3,"9450","Debit Card","Istinye Park"
"I749194","Technology",5,"26250","Cash","Mall of Istanbul"
"I225657","Clothing",5,"7502","Cash","Mall of Istanbul"
"I969995","Clothing",5,"7502","Cash","Kanyon"
"I187272","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I323117","Shoes",3,"5401.53","Cash","Emaar Square Mall"
"I185944","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I264670","Clothing",5,"7502","Debit Card","Metropol AVM"
"I137824","Shoes",3,"5401.53","Cash","Metrocity"
"I256320","Shoes",4,"9602.72","Debit Card","Metrocity"
"I287570","Technology",3,"9450","Cash","Mall of Istanbul"
"I230419","Technology",5,"26250","Debit Card","Kanyon"
"I261182","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I302233","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I838360","Clothing",5,"7502","Cash","Metropol AVM"
"I182601","Clothing",5,"7502","Cash","Metrocity"
"I792115","Clothing",5,"7502","Cash","Cevahir AVM"
"I130284","Shoes",5,"15004.25","Debit Card","Forum Istanbul"
"I267451","Technology",5,"26250","Cash","Istinye Park"
"I106341","Clothing",5,"7502","Cash","Cevahir AVM"
"I259530","Technology",5,"26250","Cash","Metrocity"
"I195177","Clothing",5,"7502","Cash","Metropol AVM"
"I330860","Shoes",4,"9602.72","Cash","Metrocity"
"I768952","Technology",3,"9450","Cash","Cevahir AVM"
"I116622","Clothing",5,"7502","Cash","Metropol AVM"
"I595938","Shoes",5,"15004.25","Debit Card","Viaport Outlet"
"I190877","Technology",5,"26250","Cash","Istinye Park"
"I246544","Clothing",5,"7502","Cash","Mall of Istanbul"
"I197227","Clothing",5,"7502","Cash","Metropol AVM"
"I216650","Technology",4,"16800","Debit Card","Kanyon"
"I219699","Shoes",5,"15004.25","Cash","Metrocity"
"I333776","Technology",5,"26250","Cash","Viaport Outlet"
"I140059","Clothing",5,"7502","Cash","Mall of Istanbul"
"I122482","Technology",4,"16800","Cash","Metrocity"
"I318650","Shoes",4,"9602.72","Cash","Kanyon"
"I257096","Technology",5,"26250","Cash","Cevahir AVM"
"I178736","Clothing",5,"7502","Cash","Istinye Park"
"I828970","Clothing",5,"7502","Cash","Istinye Park"
"I259831","Technology",4,"16800","Cash","Mall of Istanbul"
"I113774","Shoes",5,"15004.25","Cash","Kanyon"
"I308665","Shoes",5,"15004.25","Cash","Emaar Square Mall"
"I295264","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I319622","Clothing",5,"7502","Cash","Metrocity"
"I252586","Technology",5,"26250","Cash","Metropol AVM"
"I201350","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I373913","Clothing",5,"7502","Cash","Kanyon"
"I877437","Clothing",5,"7502","Cash","Forum Istanbul"
"I307779","Technology",3,"9450","Cash","Mall of Istanbul"
"I301689","Clothing",5,"7502","Cash","Istinye Park"
"I101745","Shoes",5,"15004.25","Cash","Cevahir AVM"
"I401848","Shoes",4,"9602.72","Cash","Kanyon"
"I464494","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I596248","Clothing",5,"7502","Cash","Cevahir AVM"
"I496513","Shoes",3,"5401.53","Cash","Istinye Park"
"I295800","Clothing",5,"7502","Cash","Mall of Istanbul"
"I108990","Clothing",5,"7502","Cash","Mall of Istanbul"
"I239740","Technology",4,"16800","Debit Card","Forum Istanbul"
"I159231","Shoes",4,"9602.72","Cash","Metrocity"
"I143339","Technology",4,"16800","Debit Card","Kanyon"
"I166634","Clothing",5,"7502","Cash","Kanyon"
"I310475","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I702425","Shoes",5,"15004.25","Cash","Metrocity"
"I831460","Technology",3,"9450","Debit Card","Mall of Istanbul"
"I636207","Clothing",5,"7502","Cash","Metrocity"
"I274815","Clothing",5,"7502","Debit Card","Metropol AVM"
"I147497","Shoes",4,"9602.72","Cash","Forum Istanbul"
"I171803","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I122939","Technology",5,"26250","Cash","Metrocity"
"I325372","Clothing",5,"7502","Cash","Kanyon"
"I270713","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I871276","Clothing",5,"7502","Cash","Zorlu Center"
"I158456","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I117353","Clothing",5,"7502","Cash","Mall of Istanbul"
"I161571","Shoes",4,"9602.72","Debit Card","Istinye Park"
"I234527","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I155170","Shoes",4,"9602.72","Cash","Metrocity"
"I976852","Shoes",5,"15004.25","Cash","Metrocity"
"I309573","Technology",5,"26250","Cash","Emaar Square Mall"
"I184491","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I282277","Shoes",5,"15004.25","Cash","Cevahir AVM"
"I310041","Technology",5,"26250","Cash","Viaport Outlet"
"I782140","Clothing",5,"7502","Cash","Metropol AVM"
"I101008","Shoes",3,"5401.53","Cash","Istinye Park"
"I559915","Technology",4,"16800","Cash","Istinye Park"
"I169762","Shoes",4,"9602.72","Cash","Zorlu Center"
"I501012","Shoes",5,"15004.25","Cash","Kanyon"
"I153756","Shoes",5,"15004.25","Cash","Metropol AVM"
"I278448","Clothing",5,"7502","Debit Card","Istinye Park"
"I689658","Technology",4,"16800","Cash","Metrocity"
"I279747","Clothing",5,"7502","Cash","Kanyon"
"I206285","Technology",4,"16800","Cash","Metrocity"
"I310500","Clothing",5,"7502","Debit Card","Metropol AVM"
"I102222","Clothing",5,"7502","Debit Card","Kanyon"
"I444537","Shoes",5,"15004.25","Cash","Istinye Park"
"I538642","Shoes",3,"5401.53","Cash","Zorlu Center"
"I182696","Clothing",5,"7502","Cash","Metropol AVM"
"I947320","Shoes",3,"5401.53","Debit Card","Mall of Istanbul"
"I182175","Clothing",5,"7502","Cash","Mall of Istanbul"
"I254787","Technology",4,"16800","Cash","Metropol AVM"
"I258047","Clothing",5,"7502","Cash","Metropol AVM"
"I250187","Clothing",5,"7502","Cash","Mall of Istanbul"
"I297411","Technology",4,"16800","Cash","Istinye Park"
"I226259","Clothing",5,"7502","Cash","Kanyon"
"I314869","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I323823","Clothing",5,"7502","Debit Card","Kanyon"
"I215439","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I122114","Shoes",3,"5401.53","Cash","Kanyon"
"I186296","Clothing",5,"7502","Debit Card","Metrocity"
"I170387","Clothing",5,"7502","Cash","Mall of Istanbul"
"I406495","Clothing",5,"7502","Cash","Mall of Istanbul"
"I152170","Clothing",5,"7502","Cash","Mall of Istanbul"
"I152290","Clothing",5,"7502","Cash","Cevahir AVM"
"I119278","Clothing",5,"7502","Debit Card","Kanyon"
"I273565","Clothing",5,"7502","Debit Card","Kanyon"
"I998924","Clothing",5,"7502","Cash","Mall of Istanbul"
"I902865","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I177199","Shoes",3,"5401.53","Debit Card","Istinye Park"
"I270345","Clothing",5,"7502","Debit Card","Kanyon"
"I152646","Technology",3,"9450","Debit Card","Cevahir AVM"
"I309278","Technology",5,"26250","Cash","Istinye Park"
"I105895","Technology",4,"16800","Debit Card","Istinye Park"
"I557283","Shoes",3,"5401.53","Debit Card","Zorlu Center"
"I667057","Technology",5,"26250","Debit Card","Zorlu Center"
"I140773","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I458070","Clothing",5,"7502","Debit Card","Metropol AVM"
"I246744","Clothing",5,"7502","Cash","Metrocity"
"I218724","Clothing",5,"7502","Cash","Kanyon"
"I149379","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I503756","Technology",3,"9450","Cash","Mall of Istanbul"
"I288662","Clothing",5,"7502","Cash","Metrocity"
"I219720","Clothing",5,"7502","Cash","Kanyon"
"I167414","Clothing",5,"7502","Cash","Cevahir AVM"
"I695302","Clothing",5,"7502","Debit Card","Cevahir AVM"
"I181151","Shoes",5,"15004.25","Debit Card","Kanyon"
"I169410","Clothing",5,"7502","Cash","Mall of Istanbul"
"I755420","Technology",3,"9450","Cash","Mall of Istanbul"
"I123713","Clothing",5,"7502","Debit Card","Istinye Park"
"I114467","Clothing",5,"7502","Cash","Metrocity"
"I298726","Clothing",5,"7502","Cash","Istinye Park"
"I848320","Technology",4,"16800","Cash","Viaport Outlet"
"I232571","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I157489","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I178628","Clothing",5,"7502","Cash","Kanyon"
"I199060","Clothing",5,"7502","Debit Card","Istinye Park"
"I190941","Clothing",5,"7502","Debit Card","Zorlu Center"
"I194282","Clothing",5,"7502","Cash","Metrocity"
"I304844","Shoes",3,"5401.53","Debit Card","Zorlu Center"
"I290596","Clothing",5,"7502","Cash","Metrocity"
"I510555","Clothing",5,"7502","Cash","Kanyon"
"I272265","Shoes",3,"5401.53","Cash","Kanyon"
"I313711","Clothing",5,"7502","Cash","Emaar Square Mall"
"I210761","Technology",5,"26250","Cash","Emaar Square Mall"
"I271602","Clothing",5,"7502","Cash","Kanyon"
"I656016","Clothing",5,"7502","Cash","Metropol AVM"
"I783897","Clothing",5,"7502","Cash","Kanyon"
"I298143","Shoes",4,"9602.72","Debit Card","Metropol AVM"
"I107708","Shoes",3,"5401.53","Debit Card","Istinye Park"
"I539430","Clothing",5,"7502","Debit Card","Metrocity"
"I778543","Technology",5,"26250","Cash","Viaport Outlet"
"I135729","Clothing",5,"7502","Cash","Viaport Outlet"
"I162294","Clothing",5,"7502","Debit Card","Kanyon"
"I622232","Clothing",5,"7502","Cash","Kanyon"
"I281835","Clothing",5,"7502","Cash","Metropol AVM"
"I110436","Clothing",5,"7502","Cash","Cevahir AVM"
"I191646","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I242547","Clothing",5,"7502","Debit Card","Istinye Park"
"I888125","Clothing",5,"7502","Cash","Cevahir AVM"
"I330777","Clothing",5,"7502","Cash","Forum Istanbul"
"I211275","Clothing",5,"7502","Debit Card","Istinye Park"
"I208380","Shoes",3,"5401.53","Cash","Zorlu Center"
"I228079","Technology",4,"16800","Cash","Viaport Outlet"
"I265141","Shoes",5,"15004.25","Cash","Kanyon"
"I283570","Shoes",4,"9602.72","Cash","Kanyon"
"I302634","Shoes",5,"15004.25","Debit Card","Forum Istanbul"
"I540388","Technology",5,"26250","Debit Card","Istinye Park"
"I305949","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I406010","Clothing",5,"7502","Cash","Forum Istanbul"
"I749172","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I767010","Technology",5,"26250","Debit Card","Forum Istanbul"
"I245451","Clothing",5,"7502","Cash","Mall of Istanbul"
"I325948","Shoes",3,"5401.53","Cash","Kanyon"
"I899275","Technology",5,"26250","Cash","Zorlu Center"
"I226021","Shoes",5,"15004.25","Cash","Metrocity"
"I778187","Shoes",3,"5401.53","Debit Card","Kanyon"
"I223546","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I136102","Technology",3,"9450","Cash","Kanyon"
"I464253","Technology",4,"16800","Cash","Metropol AVM"
"I950594","Technology",4,"16800","Cash","Mall of Istanbul"
"I316780","Shoes",5,"15004.25","Cash","Metrocity"
"I314054","Technology",3,"9450","Debit Card","Metropol AVM"
"I300759","Clothing",5,"7502","Cash","Emaar Square Mall"
"I235667","Shoes",5,"15004.25","Cash","Metrocity"
"I337677","Clothing",5,"7502","Cash","Metropol AVM"
"I187166","Technology",5,"26250","Debit Card","Istinye Park"
"I318950","Clothing",5,"7502","Cash","Metropol AVM"
